historical_order_id,customer_id,order_datetime,net_amount
H0001,C001,2025-01-01T10:00:00,20.0
H0002,C002,2025-01-03T11:00:00,40.55
H0003,C003,2025-01-05T12:00:00,61.1
H0004,C004,2025-01-07T13:00:00,81.65
H0005,C005,2025-01-09T14:00:00,89.4
H0006,C006,2025-01-11T15:00:00,109.95
H0007,C007,2025-01-13T16:00:00,130.5
H0008,C008,2025-01-15T10:00:00,151.05
H0009,C009,2025-01-17T11:00:00,158.8
H0010,C010,2025-01-19T12:00:00,179.35
H0011,C011,2025-01-21T13:00:00,199.9
H0012,C012,2025-01-23T14:00:00,220.45
H0013,C013,2025-01-25T15:00:00,228.2
H0014,C014,2025-01-27T16:00:00,248.75
H0015,C015,2025-01-29T10:00:00,269.3
H0016,C016,2025-01-31T11:00:00,29.6
H0017,C017,2025-02-02T12:00:00,37.35
H0018,C018,2025-02-04T13:00:00,57.9
H0019,C019,2025-02-06T14:00:00,78.45
H0020,C020,2025-02-08T15:00:00,99.0
H0021,C021,2025-02-10T16:00:00,106.75
H0022,C022,2025-02-12T10:00:00,127.3
H0023,C023,2025-02-14T11:00:00,147.85
H0024,C024,2025-02-16T12:00:00,168.4
H0025,C025,2025-02-18T13:00:00,176.15
H0026,C026,2025-02-20T14:00:00,196.7
H0027,C027,2025-02-22T15:00:00,217.25
H0028,C028,2025-02-24T16:00:00,237.8
H0029,C029,2025-02-26T10:00:00,245.55
H0030,C030,2025-02-28T11:00:00,266.1
H0031,C001,2025-03-02T12:00:00,26.4
H0032,C002,2025-03-04T13:00:00,46.95
H0033,C003,2025-03-06T14:00:00,54.7
H0034,C004,2025-03-08T15:00:00,75.25
H0035,C005,2025-03-10T16:00:00,95.8
H0036,C006,2025-03-12T10:00:00,116.35
H0037,C007,2025-03-14T11:00:00,124.1
H0038,C008,2025-03-16T12:00:00,144.65
H0039,C009,2025-03-18T13:00:00,165.2
H0040,C010,2025-03-20T14:00:00,185.75
H0041,C011,2025-03-22T15:00:00,193.5
H0042,C012,2025-03-24T16:00:00,214.05
H0043,C013,2025-03-26T10:00:00,234.6
H0044,C014,2025-03-28T11:00:00,255.15
H0045,C015,2025-03-30T12:00:00,262.9
H0046,C016,2025-04-01T13:00:00,23.2
H0047,C017,2025-04-03T14:00:00,43.75
H0048,C018,2025-04-05T15:00:00,64.3
H0049,C019,2025-04-07T16:00:00,72.05
H0050,C020,2025-04-09T10:00:00,92.6
H0051,C021,2025-04-11T11:00:00,113.15
H0052,C022,2025-04-13T12:00:00,133.7
H0053,C023,2025-04-15T13:00:00,141.45
H0054,C024,2025-04-17T14:00:00,162.0
H0055,C025,2025-04-19T15:00:00,182.55
H0056,C026,2025-04-21T16:00:00,203.1
H0057,C027,2025-04-23T10:00:00,210.85
H0058,C028,2025-04-25T11:00:00,231.4
H0059,C029,2025-04-27T12:00:00,251.95
H0060,C030,2025-04-29T13:00:00,272.5
H0061,C001,2025-05-01T14:00:00,20.0
H0062,C002,2025-05-03T15:00:00,40.55
H0063,C003,2025-05-05T16:00:00,61.1
H0064,C004,2025-05-07T10:00:00,81.65
H0065,C005,2025-05-09T11:00:00,89.4
H0066,C006,2025-05-11T12:00:00,109.95
H0067,C007,2025-05-13T13:00:00,130.5
H0068,C008,2025-05-15T14:00:00,151.05
H0069,C009,2025-05-17T15:00:00,158.8
H0070,C010,2025-05-19T16:00:00,179.35
H0071,C011,2025-05-21T10:00:00,199.9
H0072,C012,2025-05-23T11:00:00,220.45
H0073,C013,2025-05-25T12:00:00,228.2
H0074,C014,2025-05-27T13:00:00,248.75
H0075,C015,2025-05-29T14:00:00,269.3
H0076,C016,2025-05-31T15:00:00,29.6
H0077,C017,2025-06-02T16:00:00,37.35
H0078,C018,2025-06-04T10:00:00,57.9
H0079,C019,2025-06-06T11:00:00,78.45
H0080,C020,2025-06-08T12:00:00,99.0
H0081,C021,2025-06-10T13:00:00,106.75
H0082,C022,2025-06-12T14:00:00,127.3
H0083,C023,2025-06-14T15:00:00,147.85
H0084,C024,2025-06-16T16:00:00,168.4
H0085,C025,2025-06-18T10:00:00,176.15
H0086,C026,2025-06-20T11:00:00,196.7
H0087,C027,2025-06-22T12:00:00,217.25
H0088,C028,2025-06-24T13:00:00,237.8
H0089,C029,2025-06-26T14:00:00,245.55
H0090,C030,2025-06-28T15:00:00,266.1
H0091,C001,2025-06-30T16:00:00,26.4
H0092,C002,2025-07-02T10:00:00,46.95
H0093,C003,2025-07-04T11:00:00,54.7
H0094,C004,2025-07-06T12:00:00,75.25
H0095,C005,2025-07-08T13:00:00,95.8
H0096,C006,2025-07-10T14:00:00,116.35
H0097,C007,2025-07-12T15:00:00,124.1
H0098,C008,2025-07-14T16:00:00,144.65
H0099,C009,2025-07-16T10:00:00,165.2
H0100,C010,2025-07-18T11:00:00,185.75
H0101,C011,2025-07-20T12:00:00,193.5
H0102,C012,2025-07-22T13:00:00,214.05
H0103,C013,2025-07-24T14:00:00,234.6
H0104,C014,2025-07-26T15:00:00,255.15
H0105,C015,2025-07-28T16:00:00,262.9
H0106,C016,2025-07-30T10:00:00,23.2
H0107,C017,2025-08-01T11:00:00,43.75
H0108,C018,2025-08-03T12:00:00,64.3
H0109,C019,2025-08-05T13:00:00,72.05
H0110,C020,2025-08-07T14:00:00,92.6
H0111,C021,2025-08-09T15:00:00,113.15
H0112,C022,2025-08-11T16:00:00,133.7
H0113,C023,2025-08-13T10:00:00,141.45
H0114,C024,2025-08-15T11:00:00,162.0
H0115,C025,2025-08-17T12:00:00,182.55
H0116,C026,2025-08-19T13:00:00,203.1
H0117,C027,2025-08-21T14:00:00,210.85
H0118,C028,2025-08-23T15:00:00,231.4
H0119,C029,2025-08-25T16:00:00,251.95
H0120,C030,2025-08-27T10:00:00,272.5
H0121,C001,2025-08-29T11:00:00,20.0
H0122,C002,2025-08-31T12:00:00,40.55
H0123,C003,2025-09-02T13:00:00,61.1
H0124,C004,2025-09-04T14:00:00,81.65
H0125,C005,2025-09-06T15:00:00,89.4
H0126,C006,2025-09-08T16:00:00,109.95
H0127,C007,2025-09-10T10:00:00,130.5
H0128,C008,2025-09-12T11:00:00,151.05
H0129,C009,2025-09-14T12:00:00,158.8
H0130,C010,2025-09-16T13:00:00,179.35
H0131,C011,2025-09-18T14:00:00,199.9
H0132,C012,2025-09-20T15:00:00,220.45
H0133,C013,2025-09-22T16:00:00,228.2
H0134,C014,2025-09-24T10:00:00,248.75
H0135,C015,2025-09-26T11:00:00,269.3
H0136,C016,2025-09-28T12:00:00,29.6
H0137,C017,2025-09-30T13:00:00,37.35
H0138,C018,2025-10-02T14:00:00,57.9
H0139,C019,2025-10-04T15:00:00,78.45
H0140,C020,2025-10-06T16:00:00,99.0
H0141,C021,2025-10-08T10:00:00,106.75
H0142,C022,2025-10-10T11:00:00,127.3
H0143,C023,2025-10-12T12:00:00,147.85
H0144,C024,2025-10-14T13:00:00,168.4
H0145,C025,2025-10-16T14:00:00,176.15
H0146,C026,2025-10-18T15:00:00,196.7
H0147,C027,2025-10-20T16:00:00,217.25
H0148,C028,2025-10-22T10:00:00,237.8
H0149,C029,2025-10-24T11:00:00,245.55
H0150,C030,2025-10-26T12:00:00,266.1
H0151,C001,2025-10-28T13:00:00,26.4
H0152,C002,2025-10-30T14:00:00,46.95
H0153,C003,2025-11-01T15:00:00,54.7
H0154,C004,2025-11-03T16:00:00,75.25
H0155,C005,2025-11-05T10:00:00,95.8
H0156,C006,2025-11-07T11:00:00,116.35
H0157,C007,2025-11-09T12:00:00,124.1
H0158,C008,2025-11-11T13:00:00,144.65
H0159,C009,2025-11-13T14:00:00,165.2
H0160,C010,2025-11-15T15:00:00,185.75
H0161,C011,2025-11-17T16:00:00,193.5
H0162,C012,2025-11-19T10:00:00,214.05
H0163,C013,2025-11-21T11:00:00,234.6
H0164,C014,2025-11-23T12:00:00,255.15
H0165,C015,2025-11-25T13:00:00,262.9
H0166,C016,2025-11-27T14:00:00,23.2
H0167,C017,2025-11-29T15:00:00,43.75
H0168,C018,2025-12-01T16:00:00,64.3
H0169,C019,2025-12-03T10:00:00,72.05
H0170,C020,2025-12-05T11:00:00,92.6
H0171,C021,2025-12-07T12:00:00,113.15
H0172,C022,2025-12-09T13:00:00,133.7
H0173,C023,2025-12-11T14:00:00,141.45
H0174,C024,2025-12-13T15:00:00,162.0
H0175,C025,2025-12-15T16:00:00,182.55
H0176,C026,2025-12-17T10:00:00,203.1
H0177,C027,2025-12-19T11:00:00,210.85
H0178,C028,2025-12-21T12:00:00,231.4
H0179,C029,2025-12-23T13:00:00,251.95
H0180,C030,2025-12-25T14:00:00,272.5
