order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country
O0001,C001,2026-07-01T09:00:00,2026-07-01T09:10:00,P001,1,29.9,0.0,NEW,SG
O0002,C002,2026-07-01T15:00:00,2026-07-01T15:11:00,P002,2,39.9,0.05,PROCESSING,MY
O0003,C003,2026-07-01T21:00:00,2026-07-01T21:12:00,P003,3,89.0,0.1,SHIPPED,ID
O0004,C004,2026-07-02T03:00:00,2026-07-02T03:13:00,P004,4,129.0,0.15,DELIVERED,TH
O0005,C005,2026-07-02T09:00:00,2026-07-02T09:14:00,P005,1,399.0,0.0,CANCELLED,VN
O0006,C006,2026-07-02T15:00:00,2026-07-02T15:15:00,P006,2,79.0,0.05,NEW,SG
O0007,C007,2026-07-02T21:00:00,2026-07-02T21:16:00,P007,3,149.0,0.1,PROCESSING,MY
O0008,C008,2026-07-03T03:00:00,2026-07-03T03:17:00,P008,4,49.0,0.15,SHIPPED,ID
O0009,C009,2026-07-03T09:00:00,2026-07-03T09:18:00,P001,1,29.9,0.0,DELIVERED,TH
O0010,C010,2026-07-03T15:00:00,2026-07-03T15:19:00,P002,2,39.9,0.05,CANCELLED,VN
O0011,C011,2026-07-03T21:00:00,2026-07-03T21:20:00,P003,3,89.0,0.1,NEW,SG
O0012,C012,2026-07-04T03:00:00,2026-07-04T03:21:00,P004,4,129.0,0.15,PROCESSING,MY
O0013,C013,2026-07-04T09:00:00,2026-07-04T09:22:00,P005,1,399.0,0.0,SHIPPED,ID
O0014,C014,2026-07-04T15:00:00,2026-07-04T15:23:00,P006,2,79.0,0.05,DELIVERED,TH
O0015,C015,2026-07-04T21:00:00,2026-07-04T21:24:00,P007,3,149.0,0.1,CANCELLED,VN
O0016,C016,2026-07-05T03:00:00,2026-07-05T03:25:00,P008,4,49.0,0.15,NEW,SG
O0017,C017,2026-07-05T09:00:00,2026-07-05T09:26:00,P001,1,29.9,0.0,PROCESSING,MY
O0018,C018,2026-07-05T15:00:00,2026-07-05T15:27:00,P002,2,39.9,0.05,SHIPPED,ID
O0019,C019,2026-07-05T21:00:00,2026-07-05T21:28:00,P003,3,89.0,0.1,DELIVERED,TH
O0020,C020,2026-07-06T03:00:00,2026-07-06T03:29:00,P004,4,129.0,0.15,CANCELLED,VN
O0021,C021,2026-07-06T09:00:00,2026-07-06T09:30:00,P005,1,399.0,0.0,NEW,SG
O0022,C022,2026-07-06T15:00:00,2026-07-06T15:31:00,P006,2,79.0,0.05,PROCESSING,MY
O0023,C023,2026-07-06T21:00:00,2026-07-06T21:32:00,P007,3,149.0,0.1,SHIPPED,ID
O0024,C024,2026-07-07T03:00:00,2026-07-07T03:33:00,P008,4,49.0,0.15,DELIVERED,TH
O0025,C025,2026-07-07T09:00:00,2026-07-07T09:34:00,P001,1,29.9,0.0,CANCELLED,VN
O0026,C026,2026-07-07T15:00:00,2026-07-07T15:35:00,P002,2,39.9,0.05,NEW,SG
O0027,C027,2026-07-07T21:00:00,2026-07-07T21:36:00,P003,3,89.0,0.1,PROCESSING,MY
O0028,C028,2026-07-08T03:00:00,2026-07-08T03:37:00,P004,4,129.0,0.15,SHIPPED,ID
O0029,C029,2026-07-08T09:00:00,2026-07-08T09:38:00,P005,1,399.0,0.0,DELIVERED,TH
