order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country
,C001,2026-07-25T09:00:00,2026-07-25T09:05:00,P001,1,29.9,0.0,NEW,SG
GF002,C002,2026-07-25T09:10:00,2026-07-25T09:15:00,P002,2,39.9,0.05,PROCESSING,MY
GF002,C003,2026-07-25T09:20:00,2026-07-25T09:25:00,P003,3,89.0,0.1,SHIPPED,ID
GF004,C004,2026-07-25T09:30:00,2026-07-25T09:35:00,P004,-1,129.0,0.15,DELIVERED,TH
GF005,C005,2026-07-25T09:40:00,2026-07-25T09:45:00,P005,1,-399.0,0.0,CANCELLED,VN
GF006,C006,2026-07-25T09:50:00,2026-07-25T09:55:00,P006,2,79.0,1.25,NEW,SG
GF007,C007,2026-07-25T10:00:00,2026-07-25T10:05:00,P007,3,149.0,0.1,UNKNOWN,MY
GF008,C008,2026-07-25T10:10:00,2026-07-25T10:15:00,P999,4,49.0,0.15,SHIPPED,ID
GF009,,2026-07-25T10:20:00,2026-07-25T10:25:00,P001,1,29.9,0.0,DELIVERED,TH
GF010,C010,2026-07-25T10:30:00,,P002,2,39.9,0.05,CANCELLED,XX
