order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country
O0121,C031,2026-07-31T09:00:00,2026-07-31T04:29:00,P001,1,29.9,0.0,NEW,SG
O0122,C032,2026-07-31T15:00:00,2026-07-31T05:29:00,P002,2,39.9,0.05,PROCESSING,MY
O0123,C033,2026-07-31T21:00:00,2026-07-31T06:29:00,P003,3,89.0,0.1,SHIPPED,ID
O0124,C004,2026-08-01T03:00:00,2026-07-31T07:29:00,P004,4,129.0,0.15,DELIVERED,TH
O0125,C005,2026-08-01T09:00:00,2026-07-31T08:29:00,P005,1,399.0,0.0,CANCELLED,VN
O0126,C006,2026-08-01T15:00:00,2026-07-31T09:29:00,P006,2,79.0,0.05,NEW,SG
O0127,C007,2026-08-01T21:00:00,2026-07-31T10:29:00,P007,3,149.0,0.1,PROCESSING,MY
O0128,C008,2026-08-02T03:00:00,2026-07-31T11:29:00,P008,4,49.0,0.15,SHIPPED,ID
O0129,C009,2026-08-02T09:00:00,2026-07-31T12:29:00,P001,1,29.9,0.0,DELIVERED,TH
O0130,C010,2026-08-02T15:00:00,2026-07-31T13:29:00,P002,2,39.9,0.05,CANCELLED,VN
O0131,C011,2026-08-02T21:00:00,2026-07-31T14:29:00,P003,3,89.0,0.1,NEW,SG
O0132,C012,2026-08-03T03:00:00,2026-07-31T15:29:00,P004,4,129.0,0.15,PROCESSING,MY
