order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country,order_date
PB001,C001,2026-07-20T08:00:00,2026-07-20T08:05:00,P001,1,29.9,0.0,NEW,SG,2026-07-20
PB002,C002,2026-07-20T08:45:00,2026-07-20T08:51:00,P002,2,39.9,0.05,PROCESSING,MY,2026-07-20
PB003,C003,2026-07-20T09:30:00,2026-07-20T09:37:00,P003,3,89.0,0.1,SHIPPED,ID,2026-07-20
PB004,C004,2026-07-20T10:15:00,2026-07-20T10:23:00,P004,4,129.0,0.15,DELIVERED,TH,2026-07-20
PB005,C005,2026-07-20T11:00:00,2026-07-20T11:09:00,P005,1,399.0,0.0,CANCELLED,VN,2026-07-20
PB006,C006,2026-07-20T11:45:00,2026-07-20T11:55:00,P006,2,79.0,0.05,NEW,PH,2026-07-20
PB007,C007,2026-07-20T12:30:00,2026-07-20T12:41:00,P007,3,149.0,0.1,PROCESSING,SG,2026-07-20
PB008,C008,2026-07-20T13:15:00,2026-07-20T13:27:00,P008,4,49.0,0.15,SHIPPED,MY,2026-07-20
PB009,C009,2026-07-20T14:00:00,2026-07-20T14:13:00,P001,1,29.9,0.0,DELIVERED,ID,2026-07-20
PB010,C010,2026-07-20T14:45:00,2026-07-20T14:59:00,P002,2,39.9,0.05,CANCELLED,TH,2026-07-20
PB011,C011,2026-07-21T08:00:00,2026-07-21T08:05:00,P003,3,89.0,0.1,NEW,VN,2026-07-21
PB012,C012,2026-07-21T08:45:00,2026-07-21T08:51:00,P004,4,129.0,0.15,PROCESSING,PH,2026-07-21
PB013,C013,2026-07-21T09:30:00,2026-07-21T09:37:00,P005,1,399.0,0.0,SHIPPED,SG,2026-07-21
PB014,C014,2026-07-21T10:15:00,2026-07-21T10:23:00,P006,2,79.0,0.05,DELIVERED,MY,2026-07-21
PB015,C015,2026-07-21T11:00:00,2026-07-21T11:09:00,P007,3,149.0,0.1,CANCELLED,ID,2026-07-21
PB016,C016,2026-07-21T11:45:00,2026-07-21T11:55:00,P008,4,49.0,0.15,NEW,TH,2026-07-21
PB017,C017,2026-07-21T12:30:00,2026-07-21T12:41:00,P001,1,29.9,0.0,PROCESSING,VN,2026-07-21
PB018,C018,2026-07-21T13:15:00,2026-07-21T13:27:00,P002,2,39.9,0.05,SHIPPED,PH,2026-07-21
PB019,C019,2026-07-21T14:00:00,2026-07-21T14:13:00,P003,3,89.0,0.1,DELIVERED,SG,2026-07-21
PB020,C020,2026-07-21T14:45:00,2026-07-21T14:59:00,P004,4,129.0,0.15,CANCELLED,MY,2026-07-21
PB021,C001,2026-07-22T08:00:00,2026-07-22T08:05:00,P005,1,399.0,0.0,NEW,ID,2026-07-22
PB022,C002,2026-07-22T08:45:00,2026-07-22T08:51:00,P006,2,79.0,0.05,PROCESSING,TH,2026-07-22
PB023,C003,2026-07-22T09:30:00,2026-07-22T09:37:00,P007,3,149.0,0.1,SHIPPED,VN,2026-07-22
PB024,C004,2026-07-22T10:15:00,2026-07-22T10:23:00,P008,4,49.0,0.15,DELIVERED,PH,2026-07-22
PB025,C005,2026-07-22T11:00:00,2026-07-22T11:09:00,P001,1,29.9,0.0,CANCELLED,SG,2026-07-22
PB026,C006,2026-07-22T11:45:00,2026-07-22T11:55:00,P002,2,39.9,0.05,NEW,MY,2026-07-22
PB027,C007,2026-07-22T12:30:00,2026-07-22T12:41:00,P003,3,89.0,0.1,PROCESSING,ID,2026-07-22
PB028,C008,2026-07-22T13:15:00,2026-07-22T13:27:00,P004,4,129.0,0.15,SHIPPED,TH,2026-07-22
PB029,C009,2026-07-22T14:00:00,2026-07-22T14:13:00,P005,1,399.0,0.0,DELIVERED,VN,2026-07-22
PB030,C010,2026-07-22T14:45:00,2026-07-22T14:59:00,P006,2,79.0,0.05,CANCELLED,PH,2026-07-22
