order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country,order_date
PB011,C011,2026-07-21T08:00:00,2026-07-24T09:00:00,P003,4,89.0,0.1,NEW,VN,2026-07-21
PB012,C012,2026-07-21T08:45:00,2026-07-24T09:01:00,P004,5,129.0,0.15,PROCESSING,PH,2026-07-21
PB013,C013,2026-07-21T09:30:00,2026-07-24T09:02:00,P005,2,399.0,0.0,SHIPPED,SG,2026-07-21
PB014,C014,2026-07-21T10:15:00,2026-07-21T10:23:00,P006,2,79.0,0.05,DELIVERED,MY,2026-07-21
PB015,C015,2026-07-21T11:00:00,2026-07-21T11:09:00,P007,3,149.0,0.1,CANCELLED,ID,2026-07-21
PB016,C016,2026-07-21T11:45:00,2026-07-21T11:55:00,P008,4,49.0,0.15,NEW,TH,2026-07-21
PB017,C017,2026-07-21T12:30:00,2026-07-21T12:41:00,P001,1,29.9,0.0,PROCESSING,VN,2026-07-21
PB018,C018,2026-07-21T13:15:00,2026-07-21T13:27:00,P002,2,39.9,0.05,SHIPPED,PH,2026-07-21
PB019,C019,2026-07-21T14:00:00,2026-07-21T14:13:00,P003,3,89.0,0.1,DELIVERED,SG,2026-07-21
PB020,C020,2026-07-21T14:45:00,2026-07-21T14:59:00,P004,4,129.0,0.15,CANCELLED,MY,2026-07-21
