order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country,order_date
PN001,C001,2026-07-23T08:00:00,2026-07-23T08:05:00,P005,1,399.0,0.0,NEW,ID,2026-07-23
PN002,C002,2026-07-23T08:45:00,2026-07-23T08:50:00,P006,2,79.0,0.05,PROCESSING,TH,2026-07-23
PN003,C003,2026-07-23T09:30:00,2026-07-23T09:35:00,P007,3,149.0,0.1,SHIPPED,VN,2026-07-23
PN004,C004,2026-07-23T10:15:00,2026-07-23T10:20:00,P008,4,49.0,0.15,DELIVERED,PH,2026-07-23
PN005,C005,2026-07-23T11:00:00,2026-07-23T11:05:00,P001,1,29.9,0.0,CANCELLED,SG,2026-07-23
PN006,C006,2026-07-23T11:45:00,2026-07-23T11:50:00,P002,2,39.9,0.05,NEW,MY,2026-07-23
PN007,C007,2026-07-23T12:30:00,2026-07-23T12:35:00,P003,3,89.0,0.1,PROCESSING,ID,2026-07-23
PN008,C008,2026-07-23T13:15:00,2026-07-23T13:20:00,P004,4,129.0,0.15,SHIPPED,TH,2026-07-23
PN009,C009,2026-07-23T14:00:00,2026-07-23T14:05:00,P005,1,399.0,0.0,DELIVERED,VN,2026-07-23
PN010,C010,2026-07-23T14:45:00,2026-07-23T14:50:00,P006,2,79.0,0.05,CANCELLED,PH,2026-07-23
